0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
0, 60, 120, 120, 4, 30, 8, 2, 2, 2, 250, 320, 150, 3.5, 3.5, 
1, 60, 120, 120, 4, 30, 8, 2, 2, 2, 250, 320, 150, 3.5, 3.5, 
1, 60, 120, 120, 4, 30, 8, 2, 2, 2, 250, 320, 150, 3.5, 3.5, 
1, 60, 120, 120, 4, 30, 8, 2, 2, 2, 250, 320, 150, 3.5, 3.5, 
1, 60, 120, 120, 4, 30, 8, 2, 2, 2, 250, 320, 150, 3.5, 3.5, 
1, 60, 120, 120, 4, 30, 8, 2, 2, 2, 250, 320, 150, 3.5, 3.5, 
1, 60, 120, 120, 4, 30, 8, 2, 2, 2, 250, 320, 150, 3.5, 3.5, 
7, 60, 120, 120, 4, 30, 8, 2, 2, 2, 250, 320, 150, 3.5, 3.5, 
7, 60, 120, 120, 4, 30, 8, 2, 2, 2, 250, 320, 150, 3.5, 3.5, 
0, 60, 120, 120, 4, 30, 8, 2, 2, 2, 250, 320, 150, 3.5, 3.5, 
0, 60, 120, 120, 4, 30, 8, 2, 2, 2, 250, 320, 150, 3.5, 3.5, 
0, 60, 120, 120, 4, 30, 8, 2, 2, 2, 250, 320, 150, 3.5, 3.5, 
0, 60, 120, 120, 4, 30, 8, 2, 2, 2, 250, 320, 150, 3.5, 3.5, 
0, 60, 120, 120, 4, 30, 8, 2, 2, 2, 250, 320, 150, 3.5, 3.5, 
0, 60, 120, 120, 4, 30, 8, 2, 2, 2, 250, 320, 150, 3.5, 3.5, 
0, 60, 120, 120, 4, 30, 8, 2, 2, 2, 250, 320, 150, 3.5, 3.5, 
0, 60, 120, 120, 4, 30, 8, 2, 2, 2, 250, 320, 150, 3.5, 3.5, 
0, 60, 120, 120, 4, 30, 8, 2, 2, 2, 250, 320, 150, 3.5, 3.5, 
2, 60, 120, 120, 4, 30, 8, 2, 2, 2, 250, 320, 150, 3.5, 3.5, 
2, 60, 120, 120, 4, 30, 8, 2, 2, 2, 250, 320, 150, 3.5, 3.5, 
